canonical_composer,canonical_title,數量
Franz Liszt,"Concert Etude No. 3 in D-flat Major, ""Un Sospiro"", S. 144/3",2
Franz Liszt,Dante Sonata,5
Franz Liszt,Funerailles,2
Franz Liszt,"Grandes Etudes de Paganini, S. 141",1
Franz Liszt,"Grandes ètudes de Paganini No. 3 ""La Campanella"", S. 141",2
Franz Liszt,"Grandes ètudes de Paganini No. 3 La Campanella, S. 141",1
Franz Liszt,"Grandes études de Paganini, No. 3 ""La campanella"", S.141/3",3
Franz Liszt,Hungarian Rhapsody,1
Franz Liszt,"Hungarian Rhapsody No. 10 in E-flat Major, S. 244/10",1
Franz Liszt,"Hungarian Rhapsody No. 10, S. 244/10",1
Franz Liszt,"Hungarian Rhapsody No. 12, S. 244/12",1
Franz Liszt,Hungarian Rhapsody No. 13 (arr. Volodos),1
Franz Liszt,"Hungarian Rhapsody No. 13, S. 244/13",1
Franz Liszt,Hungarian Rhapsody No. 15 in A Minor,1
Franz Liszt,"Hungarian Rhapsody No. 2 in C-sharp Minor, S. 244/2",1
Franz Liszt,"Hungarian Rhapsody No. 6, S.244/6",2
Franz Liszt,Hungarian Rhapsody No. 9,1
Franz Liszt,"Hungarian Rhapsody No. 9 in E-flat Major, S. 244",1
Franz Liszt,"Hungarian Rhapsody, No. 12",1
Franz Liszt,Mephisto Waltz,1
Franz Liszt,Mephisto Waltz No. 1,4
Franz Liszt,"Mephisto Waltz No. 1, S.514",2
Franz Liszt,Mephisto-Waltz No. 1,1
Franz Liszt,"Paganini Etude No. 3, S. 141/3 ""La Campanella""",2
Franz Liszt,"Paraphrase de concert sur Rigoletto, S.434",1
Franz Liszt,Polonaise in E Major,1
Franz Liszt,Rem. of Don Juan,1
Franz Liszt,Rhapsodie Espagnole,2
Franz Liszt,Rhapsodie Espagnole S.254,1
Franz Liszt,"Rhapsodie Espagnole, S. 254",4
Franz Liszt,"Rhapsodie Espagnole, S.254",1
Franz Liszt,Rhapsody Esp.,2
Franz Liszt,Rigoletto Paraphrase,1
Franz Liszt,"Rigoletto Paraphrase, S. 434",1
Franz Liszt,Rigoletto-Paraphrase,1
Franz Liszt,"Réminiscences de Don Juan, S.418",1
Franz Liszt,"Sonata In B Minor, S. 178",1
Franz Liszt,Sonata in B Min.,2
Franz Liszt,"Sonata in B Minor, S. 178",4
Franz Liszt,Sonetto 104 del Petrarca,2
Franz Liszt,Sonetto 123 del Petrarca,1
Franz Liszt,Spanish Rhapsody,2
Franz Liszt,Tarantella,1
Franz Liszt,Tarantella from Annees de Pelerinage 2eme Annee,1
Franz Liszt,"Tarantella, S. 162 No. 3 from Venezia e Napoli",1
Franz Liszt,"Tarantella, Venezia e Napoli in G Minor, S.159",1
Franz Liszt,"Tarantelle di Bravura, S. 386",1
Franz Liszt,"Transcendental Etude No. 1 ""Prelude""",1
Franz Liszt,"Transcendental Etude No. 1, “Preludio""",1
Franz Liszt,Transcendental Etude No. 10 in F Minor,1
Franz Liszt,"Transcendental Etude No. 10 in F Minor ""Appassionata""",1
Franz Liszt,"Transcendental Etude No. 10 in F Minor, S. 139/10",1
Franz Liszt,"Transcendental Etude No. 11 ""Harmonies du Soir""",1
Franz Liszt,"Transcendental Etude No. 12 ""Chasse-neige""",2
Franz Liszt,"Transcendental Etude No. 2, “Molto vivace""",1
Franz Liszt,"Transcendental Etude No. 3 ""Paysage""",1
Franz Liszt,"Transcendental Etude No. 4 ""Mazeppa""",1
Franz Liszt,"Transcendental Etude No. 4, ""Mazeppa""",1
Franz Liszt,"Transcendental Etude No. 5 ""Feux Follets""",3
Franz Liszt,"Transcendental Etude No. 5 “Feux Follets,” S.139, No. 5",1
Franz Liszt,"Transcendental Etude No. 5, ""Feux Follets"", S. 139/5",1
Franz Liszt,"Transcendental Etude No. 8 ""Wilde Jagd""",2
Franz Liszt,"Transcendental Etude No. 8, ""Wilde Jagd"", S. 139/8",1
Franz Liszt,"Transcendental Etude No. 9, 'Ricordanza'",1
Franz Liszt,"Tristan and Isolde - Liebestod, S.447",1
Franz Liszt,"Trois Etudes de Concert ""La leggierezza"", S.144",1
Franz Liszt,"Valse de l'opera Faust de Charles Gounod, S.407",2
Franz Liszt,"Valse-Impromptu, S. 213",1
Franz Liszt,Venezia e Napoli,3
Franz Liszt,"Venezia e Napoli, S. 162",1
Franz Liszt,"Venezia e Napoli, S.162 (Complete)",1
Franz Liszt,"Études d'exécution transcendante, No. 10 in F Minor, S.139/10",1
Franz Liszt,"Études d'exécution transcendante, No. 12, ""Chasse-Neige"" S.139/12",1
Franz Liszt,"Études d'exécution transcendante, No. 4, ""Mazeppa"" S.139/4",2
Franz Liszt,"Études d'exécution transcendante, No. 5, ""Feux follets"" S.139/5",1
Franz Liszt / Camille Saint-Saëns,Danse Macabre S555/R240,1
Franz Liszt / Vladimir Horowitz,Hungarian Rhapsody No. 15 (Horowitz edition),1
Franz Liszt / Vladimir Horowitz,Hungarian Rhapsody No. 2 (Horowitz Edition),1
Franz Schubert,"""Der Mueller und der Bach""",1
Franz Schubert,"""Erlkoenig""",1
Franz Schubert,"""Gretchen am Spinnrade""",1
Franz Schubert,"Fantasia in C Major, ""Wanderer"", D. 760",1
Franz Schubert,Impromptu Op. 142 No. 1 F Minor,1
Franz Schubert,Impromptu Op. 142 No. 1 in F Minor,1
Franz Schubert,"Impromptu Op. 142 No. 1 in F Minor, D. 935",2
Franz Schubert,"Impromptu Op. 142 No. 1 in F Minor, D935",1
Franz Schubert,"Impromptu Op. 142 No. 1, in F Minor, D935",1
Franz Schubert,"Impromptu Op. 142 No. 3 in B-Flat Major, D935",1
Franz Schubert,Impromptu Op. 142 No. 3 in B-flat Major,4
Franz Schubert,"Impromptu Op. 142 No. 3 in B-flat Major, D. 935",2
Franz Schubert,"Impromptu Op. 142 No. 3 in B-flat Major, D935",4
Franz Schubert,"Impromptu Op. 142 No. 3, in B-Flat Major, D935",4
Franz Schubert,"Impromptu Op. 142 No. 4 in F Minor, D. 935",1
Franz Schubert,"Impromptu Op. 142 No. 4, in F Minor, D935",1
Franz Schubert,Impromptu Op. 90 No. 1,1
Franz Schubert,Impromptu Op. 90 No. 1 in C Minor,2
Franz Schubert,"Impromptu Op. 90 No. 1 in C Minor, D. 899",1
Franz Schubert,"Impromptu Op. 90 No. 1, in C Minor, D899",2
Franz Schubert,Impromptu Op. 90 No. 2,1
Franz Schubert,Impromptu Op. 90 No. 2 E-flat Major,1
Franz Schubert,Impromptu Op. 90 No. 2 in E-flat Major,2
Franz Schubert,"Impromptu Op. 90 No. 2 in E-flat Major, D. 899",1
Franz Schubert,"Impromptu Op. 90 No. 2 in E-flat Major, D899",1
Franz Schubert,Impromptu Op. 90 No. 3 in G-flat,1
Franz Schubert,Impromptu Op. 90 No. 3 in G-flat Major,5
Franz Schubert,"Impromptu Op. 90 No. 3 in G-flat Major, D. 899",2
Franz Schubert,"Impromptu Op. 90 No. 3 in G-flat Major, D899",1
Franz Schubert,"Impromptu Op. 90 No. 3, in G-flat Major, D899",2
Franz Schubert,Impromptu Op. 90 No. 4 in A-flat Major,5
Franz Schubert,"Impromptu Op. 90, No. 3, in G-flat Major, D899",1
Franz Schubert,"Impromptu Op.142 No.3, in B-Flat Major, D935",1
Franz Schubert,Impromptus Op. 90,1
Franz Schubert,"Impromptus Op. 90, No. 3",1
Franz Schubert,Moment Musical Op. 94 No. 1 in C Major,1
Franz Schubert,"Moment Musical Op. 94 No. 4 in C-sharp Minor, D780",1
Franz Schubert,"Moment Musical Op. 94 No. 4, in C-sharp Minor, D780",1
Franz Schubert,"Moment Musicaux in F Minor, Op. 94 No. 3",1
Franz Schubert,Son. in Bb D.960,3
Franz Schubert,Son. in Bb D.961,3
Franz Schubert,Son. in Bb D.962,3
Franz Schubert,Sonata in A D959,3
Franz Schubert,Sonata in A D960,3
Franz Schubert,Sonata in A D961,3
Franz Schubert,Sonata in A D962,1
Franz Schubert,"Sonata in A Major, D. 664 (Complete)",1
Franz Schubert,"Sonata in A Major, D. 664, I. Allegro moderato",1
Franz Schubert,"Sonata in A Major, D. 959 (Complete)",3
Franz Schubert,"Sonata in A Major, D959",1
Franz Schubert,"Sonata in A Major, Op. 120, I. Allegro moderato",1
Franz Schubert,Sonata in A Min.,8
Franz Schubert,"Sonata in A Minor, D. 537, I. Allegro ma non troppo",1
Franz Schubert,"Sonata in A Minor, D. 845",1
Franz Schubert,"Sonata in A Minor, D. 846",1
Franz Schubert,"Sonata in A Minor, D. 847",1
Franz Schubert,"Sonata in A Minor, D. 848",1
Franz Schubert,"Sonata in A Minor, D784",1
Franz Schubert,"Sonata in A Minor, D845",1
Franz Schubert,"Sonata in A minor, D. 845 (Complete)",1
Franz Schubert,Sonata in B-flat Major D. 960,1
Franz Schubert,Sonata in B-flat Major D. 961,1
Franz Schubert,Sonata in B-flat Major D. 962,1
Franz Schubert,Sonata in B-flat Major D. 963,1
Franz Schubert,"Sonata in B-flat Major, D. 960",1
Franz Schubert,"Sonata in B-flat Major, D. 960 (Complete)",2
Franz Schubert,"Sonata in B-flat Major, D. 961",1
Franz Schubert,"Sonata in B-flat Major, D. 962",1
Franz Schubert,"Sonata in B-flat Major, D. 963",1
Franz Schubert,"Sonata in B-flat Major, D960",10
Franz Schubert,"Sonata in C  Minor, D. 958",1
Franz Schubert,"Sonata in C  Minor, D. 959",1
Franz Schubert,"Sonata in C  Minor, D. 960",1
Franz Schubert,"Sonata in C  Minor, D. 961",1
Franz Schubert,"Sonata in C Major, D840",1
Franz Schubert,"Sonata in C Major, D841",1
Franz Schubert,"Sonata in C Major, D842",1
Franz Schubert,"Sonata in C Major, D843",1
Franz Schubert,"Sonata in C Minor, D. 958",2
Franz Schubert,"Sonata in C Minor, D. 958 (Complete)",2
Franz Schubert,"Sonata in C Minor, D. 959",2
Franz Schubert,"Sonata in C Minor, D. 960",2
Franz Schubert,"Sonata in C Minor, D. 961",2
Franz Schubert,"Sonata in C Minor, D958",14
Franz Schubert,"Sonata in C major, D. 840 (Complete)",1
Franz Schubert,"Sonata in D Major, D. 850 (Complete)",1
Franz Schubert,"Sonata in D Major, D850",5
Franz Schubert,Sonata in G Major D894,3
Franz Schubert,"Sonata in G Major, D 894",4
Franz Schubert,"Sonata in G Major, D. 894",2
Franz Schubert,"Sonata in G Major, D. 895",2
Franz Schubert,"Sonata in G Major, D. 896",2
Franz Schubert,"Sonata in G Major, D. 897",2
Franz Schubert,"Sonata in G Major, D894",5
Franz Schubert,Valse-Caprice No. 6 from Soirees de Vienne,1
Franz Schubert,Wanderer Fantasy,1
Franz Schubert / Franz Liszt,Der Mueller und der Bach,1
Franz Schubert / Franz Liszt,Die Forelle,1
Franz Schubert / Franz Liszt,"Fruelingsglaube, Die Junge Nonne",1
Franz Schubert / Franz Liszt,Gretchen am Spinnrade,1
Franz Schubert / Franz Liszt,"Song Transcriptions: Aufenthalt, Gretchen am Spinnrade, Standchen von Shakespeare, Der Erlkonig",4
Franz Schubert / Franz Liszt,"Staendchen from Schwannengesang, R245/7",1
Franz Schubert / Franz Liszt,"Standchen, S. 558, NO. 9, ""Horch, horch! Die Lerch""",1
Franz Schubert / Leopold Godowsky,Moment Musical Op. 94 No. 3 in F-sharp Minor,1
Fritz Kreisler / Sergei Rachmaninoff,Liebesfreud,1
Frédéric Chopin,"12 Etudes, Op. 25",2
Frédéric Chopin,"24 Preludes, Op. 28",1
Frédéric Chopin,"Andante Spianato and Grand Polonaise Brilliante, Op. 22",2
Frédéric Chopin,"Andante Spianato and Grande Polonaise Brillante, Op. 22",2
Frédéric Chopin,"Andante Spianato et Grande Polonaise Brillante, Op. 22",2
Frédéric Chopin,"Andante spianato e grande polonaise, Op. 22",2
Frédéric Chopin,"Andante spianato et grande polonaise brillante, Op. 22",4
Frédéric Chopin,Ballade 4 Op. 52,1
Frédéric Chopin,"Ballade No. 1 in G Minor, Op. 23",10
Frédéric Chopin,Ballade No. 2 in F Major,1
Frédéric Chopin,"Ballade No. 2 in F Major, Op. 38",3
Frédéric Chopin,"Ballade No. 3 in A-flat Major, Op. 47",2
Frédéric Chopin,"Ballade No. 4 in F Minor, Op. 52",6
Frédéric Chopin,"Ballade No. 4 in F minor, Op. 52",1
Frédéric Chopin,Barcarolle in F#,1
Frédéric Chopin,"Barcarolle in F-sharp Major, Op. 60",1
Frédéric Chopin,"Barcarolle, Op. 60",4
Frédéric Chopin,Berceuse Op. 57,1
Frédéric Chopin,Berceuse Op. 57 in D-flat Major,1
Frédéric Chopin,"Berceuse in D-Flat Major, Op. 57",1
Frédéric Chopin,"Berceuse, Op. 57",2
Frédéric Chopin,"Complete Etudes, Opus 25",2
Frédéric Chopin,Etude Op. 10 No. 1,5
Frédéric Chopin,Etude Op. 10 No. 1 in C Major,3
Frédéric Chopin,Etude Op. 10 No. 10 in A-flat Major,1
Frédéric Chopin,Etude Op. 10 No. 12,4
Frédéric Chopin,Etude Op. 10 No. 12 in C Minor,1
Frédéric Chopin,Etude Op. 10 No. 2,2
Frédéric Chopin,Etude Op. 10 No. 2 in A Minor,1
Frédéric Chopin,Etude Op. 10 No. 4,2
Frédéric Chopin,Etude Op. 10 No. 4 in C-Sharp Minor,3
Frédéric Chopin,Etude Op. 10 No. 4 in C-sharp Minor,4
Frédéric Chopin,Etude Op. 10 No. 5 in G-flat Major,3
Frédéric Chopin,Etude Op. 10 No. 8,2
Frédéric Chopin,Etude Op. 10 No. 8 in F Major,3
Frédéric Chopin,Etude Op. 25 No. 1,2
Frédéric Chopin,Etude Op. 25 No. 1 in A-flat Major,2
Frédéric Chopin,Etude Op. 25 No. 10,1
Frédéric Chopin,Etude Op. 25 No. 10 in B Minor,3
Frédéric Chopin,Etude Op. 25 No. 11,3
Frédéric Chopin,Etude Op. 25 No. 11 in A Minor,6
Frédéric Chopin,Etude Op. 25 No. 12,2
Frédéric Chopin,Etude Op. 25 No. 12 in C Minor,1
Frédéric Chopin,Etude Op. 25 No. 5 in E Minor,1
Frédéric Chopin,Etude Op. 25 No. 6,2
Frédéric Chopin,Etude Op. 25 No. 6 in G-sharp Minor,2
Frédéric Chopin,"Etude in A Minor, Op. 25, No. 11",1
Frédéric Chopin,"Etude in F Major, Op. 10, No. 8",1
Frédéric Chopin,Etudes Op. 10 Nos. 8,1
Frédéric Chopin,Etudes Op. 10 Nos. 9,1
Frédéric Chopin,Etudes Op. 25 Nos. 1-5,1
Frédéric Chopin,"Fantasie in F Minor, Op. 49",1
Frédéric Chopin,"Fantasy in F Minor, Op.49",1
Frédéric Chopin,Mazurka Op. 50 No. 3 in C-sharp Minor,1
Frédéric Chopin,Mazurka Op. 6 No. 2 in C-sharp Minor,1
Frédéric Chopin,"Mazurka in C-sharp Minor, Op. 50 No. 3",1
Frédéric Chopin,"Mazurka in D Major, Op. 33, No. 2",1
Frédéric Chopin,"Mazurka in F Minor, Op. 7, No. 3",1
Frédéric Chopin,"Mazurka in G-sharp Minor, Op. 33, No. 1",1
Frédéric Chopin,"Mazurkas, Op. 17 (Complete)",1
Frédéric Chopin,Nocturne Op. 15 No. 1 in F Major,1
Frédéric Chopin,Nocturne Op. 27 No. 1 in C-sharp Minor,1
Frédéric Chopin,Nocturne Op. 27 No. 2 in D-flat Major,2
Frédéric Chopin,Nocturne Op. 32 No. 2 in A-flat Major,1
Frédéric Chopin,Nocturne Op. 48 No. 1 in C Minor,1
Frédéric Chopin,Nocturne Op. 55 No. 2 in E-flat Major,1
Frédéric Chopin,Nocturne Op. 62 No. 1 in B Major,1
Frédéric Chopin,"Nocturne Op. 62, No. 2",1
Frédéric Chopin,Nocturne Op. 9 No. 2 in E-flat Major,1
Frédéric Chopin,"Nocturne in B Major, Op. 9, No. 3",2
Frédéric Chopin,"Nocturne in C Minor, Op. 48 No. 1",1
Frédéric Chopin,"Nocturne in C-Sharp Minor, Op. Posth.",1
Frédéric Chopin,"Nocturne in C-sharp Minor, Op. 27 No. 1",1
Frédéric Chopin,Nocturne in Db,2
Frédéric Chopin,"Nocturne in E-flat Major, Op. 55 No. 2",1
Frédéric Chopin,"Nocturne in F-sharp Major, Op. 15, No. 2",1
Frédéric Chopin,Polonaise Op. 26 in E-flat Minor,1
Frédéric Chopin,Polonaise Op. 44,1
Frédéric Chopin,Polonaise Op. 53 in A-flat Major,2
Frédéric Chopin,Polonaise-Fantasie,1
Frédéric Chopin,Polonaise-Fantasie Op. 61,1
Frédéric Chopin,"Polonaise-Fantasie, Op. 61",2
Frédéric Chopin,"Preludes, Book II, L 123, VI. Général Lavine - eccentric",1
Frédéric Chopin,"Preludes, Op.28",1
Frédéric Chopin,"Rondo in C Minor, Op. 1",1
Frédéric Chopin,"Rondo in C minor, Op. 1",1
Frédéric Chopin,"Scherzo No. 1 in B Minor, Op. 20",2
Frédéric Chopin,"Scherzo No. 1 in B minor, Op. 20",1
Frédéric Chopin,"Scherzo No. 2 in B-Flat Minor, Op.31",1
Frédéric Chopin,"Scherzo No. 2 in B-flat Major, Op. 31",3
Frédéric Chopin,"Scherzo No. 2 in B-flat Minor, Op. 31",6
Frédéric Chopin,"Scherzo No. 2 in B-flat Minor, Op.31",1
Frédéric Chopin,Scherzo No. 3,1
Frédéric Chopin,"Scherzo No. 3 in C-sharp Minor, Op. 39",1
Frédéric Chopin,"Scherzo No. 4  in E Major, Op. 54",1
Frédéric Chopin,"Scherzo No. 4 in E Major, Op. 54",10
Frédéric Chopin,Sonata 3 Op. 58,1
Frédéric Chopin,"Sonata No. 2 in B-flat Minor, Op. 35",2
Frédéric Chopin,Sonata No. 3,1
Frédéric Chopin,"Sonata No. 3 in B Minor, Op. 58",5
Frédéric Chopin,"Sonata No. 3 in B Minor, Op. 58 (Complete)",2
Frédéric Chopin,"Sonata No. 3 in B Minor, Op. 58, 1st mov.",1
Frédéric Chopin,"Sonata No. 3 in B Minor, Op. 58, I. Allegro maestoso",1
Frédéric Chopin,"Sonata in B Minor, Op. 58",1
Frédéric Chopin,"Two Preludes from Op. 28, Nos. 15 and 24",2
Frédéric Chopin,"Valse brillante No. 1 in A-flat Major, Op. 34",1
Frédéric Chopin,"Variations and Fugue in E-flat Major, Op. 35, ""Eroica""",1
George Enescu,Suite Op. 10,1
George Frideric Handel,Chaconne in G,1
George Frideric Handel,"Chaconne in G Major, HWV 435",1
George Frideric Handel,"Suite No. 2 in F Major, HWV 427 (Complete)",1
George Frideric Handel,Suite No. 3 in D Minor,2
Georges Bizet / Ferruccio Busoni,"Sonatina No. 6, BV284 “Fantasia da Camera super Carmen”",1
Georges Bizet / Moritz Moszkowski,"Chanson Boheme de l'Opera ""Carmen"" by Georges Bizet",1
Georges Bizet / Vladimir Horowitz,Carmen Variations,1
Giuseppe Verdi / Franz Liszt,Rigoletto Parap.,1
Henry Purcell,"Suite in C Major, Z. 666 (Complete)",1
Isaac Albéniz,Asturias,1
Isaac Albéniz,"Evocacion from ""Iberia""",1
Isaac Albéniz,Iberia Book II,1
Isaac Albéniz,"Iberia, Evocation, Triana",2
Isaac Albéniz,Navarra,1
Isaac Albéniz,Triana from 'Iberia',1
Isaac Albéniz / Leopold Godowsky,Tango,1
Jean-Philippe Rameau,RameauSelections,1
Johann Christian Fischer / Wolfgang Amadeus Mozart,12 Variations on a Theme from a Menuet by Fischer,1
Johann Pachelbel,Chaconne in F Minor,1
Johann Sebastian Bach,"Chromatic Fantasy and Fugue in D Minor, BWV 903",3
Johann Sebastian Bach,"Duet in E Minor, BWV 802",1
Johann Sebastian Bach,"Duet in G, BWV 804",1
Johann Sebastian Bach,"English Suite No. 2  in A Minor, BWV 807, I. Prelude",1
Johann Sebastian Bach,"English Suite in A Minor, BWV 807",2
Johann Sebastian Bach,"English Suite no. 3 in G Minor, Prelude",1
Johann Sebastian Bach,French Suite No. 5 in G Major,3
Johann Sebastian Bach,"Italian Concerto in F Major, BWV 971 (Complete)",1
Johann Sebastian Bach,"Italian Concerto, BWV 971",1
